codice,categoria,keyword
1,Musica,canzone
1,Musica,concerto
1,Musica,musica
1,Musica,suono
1,Musica,festival
1,Musica,coro
2,Associazione di donatori,organo
2,Associazione di donatori,sangue
2,Associazione di donatori,trapianto
2,Associazione di donatori,donare
2,Associazione di donatori,trasfusione
2,Associazione di donatori,malato
2,Associazione di donatori,ospedale
3,Commercio equo-solidale,equo
3,Commercio equo-solidale,prodotto
3,Commercio equo-solidale,artigiano
3,Commercio equo-solidale,vendita
3,Commercio equo-solidale,solidale
3,Commercio equo-solidale,commercio
4,Sport,sport
4,Sport,disciplina
4,Sport,calcio
4,Sport,gioco
4,Sport,agonistico
4,Sport,dilettante
4,Sport,danza
4,Sport,basket
4,Sport,nuoto
4,Sport,palla
4,Sport,palestra
4,Sport,allenamento
4,Sport,tennis
5,Disabili e Handicap,handicap
5,Disabili e Handicap,disabile
5,Disabili e Handicap,sostegno
5,Disabili e Handicap,mentale
5,Disabili e Handicap,malato
5,Disabili e Handicap,carrozzina
5,Disabili e Handicap,barriera
6,Donne,donna
6,Donne,violenza
6,Donne,assistenza
6,Donne,vittima
6,Donne,diritto
6,Donne,femmina
7,Arte e cultura,arte
7,Arte e cultura,cultura
7,Arte e cultura,museo
7,Arte e cultura,mostra
7,Arte e cultura,pittura
7,Arte e cultura,scultura
8,Famiglia,famiglia
8,Famiglia,genitore
8,Famiglia,figli
8,Famiglia,bambino
8,Famiglia,madre
8,Famiglia,padre
9,Istruzione e sostegno,istruzione
9,Istruzione e sostegno,scuola
9,Istruzione e sostegno,formazione
9,Istruzione e sostegno,studio
9,Istruzione e sostegno,educazione
9,Istruzione e sostegno,insegnare
10,Lavoro,lavoro
10,Lavoro,occupazione
10,Lavoro,impresa
10,Lavoro,operaio
10,Lavoro,dipendente
10,Lavoro,azienda
11,Medicina,medicina
11,Medicina,scienza
11,Medicina,istituto
11,Medicina,veterinaria
11,Medicina,ospedale
11,Medicina,malattia
12,Protezione civile,protezione
12,Protezione civile,civile
12,Protezione civile,volontario
12,Protezione civile,intervento
12,Protezione civile,aiuto
12,Protezione civile,sicurezza
13,Recupero e assistenza,assistenza
13,Recupero e assistenza,anziani
13,Recupero e assistenza,sanità
13,Recupero e assistenza,malato
13,Recupero e assistenza,sostegno
13,Recupero e assistenza,disabile
14,Ricerca scientifica,scienza
14,Ricerca scientifica,tecnologia
14,Ricerca scientifica,ricerca
14,Ricerca scientifica,progresso
14,Ricerca scientifica,innovare
15,Tutela degli animali,animale
15,Tutela degli animali,sperimentazione
15,Tutela degli animali,veterinaria
15,Tutela degli animali,allevamento
15,Tutela degli animali,tutela
15,Tutela degli animali,cane
15,Tutela degli animali,gatto
16,Tutela dei cittadini,cittadino
16,Tutela dei cittadini,consumatore
16,Tutela dei cittadini,diritto
16,Tutela dei cittadini,malato
16,Tutela dei cittadini,salvaguardia
16,Tutela dei cittadini,aiuto
17,Tutela dei minori e adozioni,adozione
17,Tutela dei minori e adozioni,minore
17,Tutela dei minori e adozioni,bambino
17,Tutela dei minori e adozioni,abuso
17,Tutela dei minori e adozioni,maltrattamento
17,Tutela dei minori e adozioni,abbandono
18,Tutela dell'ambiente,ambiente
18,Tutela dell'ambiente,ecologia
18,Tutela dell'ambiente,salvaguardia
18,Tutela dell'ambiente,inquinamento
18,Tutela dell'ambiente,energia
18,Tutela dell'ambiente,tutela
19,Volontariato,volontario
19,Volontariato,organizzazione
19,Volontariato,solidarietà
19,Volontariato,collaborazione
19,Volontariato,assistenza
19,Volontariato,impegno
20,Spettacolo,spettacolo
20,Spettacolo,cinema
20,Spettacolo,teatro
20,Spettacolo,festival
20,Spettacolo,compagnia
20,Spettacolo,concerto